Comment	sentiment
LGBT gk berbahaya? Justru berbahaya coy.bayangkan Lo nikah sesama jenis emang Lo bisa punya keturunan.sadar coy sedih orangtua Lo ngeliat anaknya LGBT.yang masih bilang LGBT gk berbahaya fix nih orang udh gk waras!!!kalo Lo masih manusia yg waras tolong rubah coy tinggalin tuh LGBT tobat coy.Tuhan gk pernah nyuruh manusia kawin dengan sesama jenis.adam aja nikah sama hawa.sadar woy!!!.gw cuma pengen nanya kalo kalian gay atau lesbi di malem pertama sblm nikah kalian ngapain kan udh gk bisa ngewe😂.apa mungkin pasangan cowok main pedang2an yg pasangan cewek main entot entotan sambil mendesah bersama😂.Gila Gila😂🤣	0
100% anda salah menyukai sesama jenis  menurut kitab suci saya Tuhan saya mengatakan! Cari lah pasanganmu dan beranak cucu lah.....<br>Kalau kalian suka sesama jenis apa bisa beranak..?	0
Karna sudah tau mangkanya dilarang bambank...informasi dari mana lg yg lu mau 🤣	0
Jangan dikesankan bahwa kamilah yang &#39;aneh&#39; (yang tidak bisa menerima lgbt) <br>Kalian yg &#39;sakit&#39; kok kami yang disuruh &#39;berobat&#39; mindset ?!!<br>Coba introspeksi diri,menyimpangkah perilaku kalian ?!!<br>Jika tetap berpendapat lgbt itu baik,lalu batasan apa lagi yang harus dijaga dari norma dan fitrah manusia ???  <br>Sebagai contoh : Inses boleh dong atas nama HAM ???<br>(padahal bukan rahasia umum,keturunan yg dihasilkan hubungan inses berpeluang sangat tinggi lahir cacat).<br>Begitu juga apa yg kalian lakukan berpeluang tinggi terkena penyakit kelamin menular bahkan HIV AIDS dan hilangnya MORAL disebagian sisi.<br>Maling juga punya argumen (saya mencuri buat nafkahi keluarga)<br>Lantas apakah perbuatan mencuri bisa dibenarkan ???<br>Jika kalian merasa lebih moderat,dan sudah tentu berkiblat pada &#39;barat&#39;<br>Ngk heran disana agama (rambu rambu hidup) ngk lebih cuma sekedar &#39;lifestyle&#39;.<br>Dan kalian pingin diterapkan disini ?!!!<br>A1,kalian orang orang yg melampaui batas.	0
Yg jelas aku ga setuju sama LGBT. Hidup cuma penuh hawa nafsu. Mbok cari Tuhan, hidup yg bener. Jangan ikuti nafsu kalian 😁😁	0
Lgbt jauh jauh dari indo	0
Ngapain kasih yang berdosa yang enak wkwkwkwk	0
Lgbt disahkan auto kerusuhan indonesia camkan itu	0
Edan... Kodrat ilahi manusia diciptakan laki2 dan perempuan, disamakan dgn hanya dgn makan sup dan nasi goreng...??? Se remeh itukah kalian menghargai diri kalian??? Bertobatlah teman2, kalian itu berharga.. Jangan buat rendah diri kalian dari binatang. Binatang sj akan mencari pasangannya.. Jantan dan betina.. Tuhan Mengasihi kalian...	0
Perilaku sampah	0
WOYYYYY SADAR CEPAT SBLM AZAB DATANG DARI ALLAH..SAKIT JIWA LO	0
Kasian ya, <br> Seharusnya bukan kalian yg ngajak mari duduk bersama seharusnya kami yg mempunyai perilaku seks yg normal yg mengajak kalian duduk bersama dgn kami. <br>Dari kalimat aja udah buktiin kalau anda sakit.	0
Buat lgbt yg msih pada ngeyel. saran saya pindah ke negara yg legalin mahluk kayak lu.. Jangan dsini ..krna lgbt tu mnular .alesan selalu bilang ini urusan saya dengan tuhan saya ..ya memang .tp yg namanya lgbt tu perbuatan yg d laknat sama allah .klo allah udh ngasih azab .yg mampus bukan lu doank ..	0
jilat meki...	0
binatang aja ga ada yg lgbt	0
Sejak kapan masyarakat menolak Manusianya? Yang kami tolak perilaku kalian, itu soalnya.. Silahkan bkerja, beraktivitas seperti orang normal.	0
Mencari sukarelawan LGBT di seluruh Indonesia untuk bergabung dalam Teater Musikal.<br><br>Teater Musikal ini menjadi Program Bulanan untuk Penggalian Dana pada:<br><br>1. Penyelenggaraan Indonesia PRIDE <br>    Festival Sepekan - Pendidikan Seksual <br>    Masyarakat - LGBT di seluruh Indonesia<br><br>2. Pendirian Rainbow Shelter Indonesia <br>    Rumah Singgah dan Pusat Pelatihan  <br>    disertai Klinik LGBT di seluruh Indonesia<br><br>Hubungi Kami :<br>I Nyoman Tenaya Santika <br>WA: +628873919635<br>e-Mail: santikatenayainyoman@<a href="http://yahoo.com/">yahoo.com</a>	1
Nabi Luth mminta kaum sodom bertobat, tp mereka mnantang.. Ketika fajar menyingsing dguncangkan lah kota sodom dgn dahsyatx tdk terkecuali istri NABI LUTH turut tenggelam... Mdhn qt dan kturunan qt sllu d jalanNya. Aaamin..	0
Buat pemerintah,jng legal kan kaum LGBT di indonesia.	0
ni yuli si setann nytaa	0
Lu hanya membenarkan Sesuatu yang salah dan mencari pembenaran. Yg beda hanya pekara iman dan masih banyak lagi	0
Ini namanya usaha pembenaran opini!!!binatang aja tau harus kawin dgn lawan jenis..	0
Kalian sakit dan berharap dibiarkan sakit. Justru masyarakat peduli jika ingin kalian sembuh.	0
GOBLOK !!!	0
Orang begini di bunuh aja halal	0
klo meki digesekin sama meki gimana rasanya mbak ? khan tetap si mbak endingnya butuh barang tumpul entah terbuat dri apa tpi khan tetap benda berbentuk pentungan..emang si mbak cukup tah dijil*t 2 doang sama temen cewe nya..hahaha...sayang mbak dripada dimasukin konek palsu mending juga konek asli..mungkin gak da lelaki yg mau masukin koneknya ke meki si mbak ya?..tampil cantik n feminim dulu mbak baru ada konek yg mau nusuk meki mbaknya..klo mbak cepak kayak lanang gitu muka brangas gitu mana ada konek yg mau nusuk meki mbak..widih kasian ya mekinya cuma ditusuk konek palsu😁😁😁	0
Binatang ae tau dia mau nusuk lawannya :v cowo apa cewe	0
Lu gak laku ama laki yah,, hewan juga gk punya akal tapi gk nyimpang sex ny	0
si goblok bikin gemes aja.... persoalanya itu kamu punya itil saya punya kontol....   bukan masuk ke dubur...   enaknya main depan bukan mai belakang....  bukan gunung sama gunung... gunung lawanya yah tabrak sama pesawat...  goblok.... sex bebas ... tanpa aturan agama ... norma agama... ente ngomong ham...  itu cuma buat dalil aja... intinya buat bebasin si kontol sama kontol main anggar.... sodok lobang tai... lobang kluarnya kotoran manusia...     ma a enak itil sama itil .. paling juga sodok pake tangan... aduhhh kasian kaya gak ada kontol aja...  sadar woiiiii... sadar..... lobang buaya yah dimasukin buaya....  masa dimasukin kambing... habis lah ...	0
Jaman edan ....	0
Di lauhul mahfudz sudah tertulis kalo lelaki ditakdirkan untuk wanita dan itu mutlak ketetapan Allah. Apa hak kita sebagai manusia untuk merubah itu.	0
di kampung sya. banci suka ngumpan anak anak jalanan pake obat dan minuman keras.  dan di saat itu juga si banji meminta imbal balik.     dan akhirnya si anak menjadi gay di kemudian hari	0
Indonesia itu Partikularisme, kebebasan individu tergantung pada adat istiadat, AGAMA, dan kebudayan masyarakatnya. Kalau mau jadi LGBT sebebas2nya, jangan di Indonesia. OGAH SAYA BAYAR pajak uangnya dipake utk ngobatin org2 amoral yg berlindung dibalik &quot;Hak &amp; Kebebasan&quot;. <br><br>LGBT tu bukan takdir.<br>Bisa dirubah. <br>Cari lingkungan yg mendukung utk berubah lebih baik, bukan yg menjerumuskan.	0
udah jelas melenceng dari agama kalian merasa normal, kalian dongok apa tolol. cek lagi iman kalian, islam KTP atau anda emang ga punya tuhan.	0
Statetman terakhir &quot;kawan LGBT itu tidak berbahaya Lo..&quot; sedangkan menurut penelitian salah satu penyebab penyakit ini  menular yg bukan disebabkan oleh virus tp karena interaksi atau pergaulan, saya setuju bahwa penyakit ini bisa disembuhkan dengan rehabilitasi atau konseling pd psikolog dan lain sebagainya, tetapi membuat komunitas LGBT seperti ini yg anggotanya sendiri ialah mereka yg sakit, kira-kira menurut anda bs sembuh tidak, atau ini adalah suatu alibi utk menyalurkan ekspresi emosional jiwa nya? Karena setau saya suatu komunitas itu biasanya tempat mempererat hubungan dan berbagi cerita sesama hoby, contoh: komunitas motor, isinya pecinta motor, komunitas reptil pecinta reptil dan lain sebagainya.. Nah yg saya khawatirkan dengan adanya komunitas ini bukan malah sembuh tp yg gak sakitpun bs ketularan sakit, dan yg sudah sakit tambah sakit, kenapa saya beropini demikian? karena saya lebih sering melihat komunitas/kelompok ini isinya kebanyakan satu jenis, kl gay laki2 semua isi anggotanya, begitupun yg lesbi isinya wanita semua,(mungkintdk seluruhnya, tp kebanyakan seperti itu). Alangkah baiknya jika komunitas ini anggota nya campur lawan jenis dan volumenya sama, dan dibiasakan utk saat berinteraksi dlm komunitas ini berkomunikasi dengan  lawan jenis, yg gay ngobrolnya sm yg lesbi, begitu jg sebaliknya, dan wajib ada psikolog yg aktif utk membimbing, bukan malah interaksinya sesama jenis, nah ini br mungkin menurut saya bs sembuh...	0
Kita tidak membedakan kalian.. tpi kalian sendiri yg membedakan diri dari manusia.. maaf kalian keluar dari kodrat yg sesungguhnya.. itu yg kami pertanyakan.. siang&amp;malam, mur&amp;baut, plus&amp;minus,, you can imagine that&#39;s simple human logic.. kenapa kalian menyimpang dari hukum paten.. coba jelas kan..<br>Dan 1 lgi nasgor sama kuah.. logika .. nasgor dan kuah tidak dari bahan yg sama... Ibarat cowok &amp; cewek.. nasgor terdiri dri nasi.. kuah terdiri dari air yg di panaskan dan di beri seasoning dll.. 😶 <br>Hingga kalian akan membawa atas nama TUHAN,, karena tuhan telah menciptakan saya seperti ini.. bawa seluruh kitab beri tau saya ayat mana yg membenarkan kaum seperti anda.. yg ada Laknat Tuhan atas orang&quot; yg melampaui batas.. <br>And the final of conclusion is u got sick brain system.. <br>Semoga Tuhan menyadarkan kalian..	0
Dukung DPR untuk mengkriminalisasi LGBT, sudah jelas kau ini merugikan apapun alasan yg kau sampaikan, kau anggap LGBT ini budaya iya betul, budaya yg menyesatkan serta menghancurkan generasi bangsa	0
Seandenya di dunia ni semua lesbi atw homo,, maka punahlah manusia karna tidak ad keturunan lg alias anak,, tp pendukung lgbt pasti jwb sekarang ad bayi tabung ,, pertanyaanya bayi tabung harganya 500jt kira2 semua nda punya uang sgtu untuk buat 1 anak,, dn parahnya lg,, ayah pasti nda jlas atw ibunya nda jlas itu dari segi tehnologi, dari sisi agama,, tidak ad 1 pun agama membenarkan lgbt,, lopun ad pengnutnya yg bilag boleh cek dulu kitabya karna agama tu yg d liat bukan pemeluk tp kitabnya,, atw gini dh logika paling swderhananya,, 3000 thun lalu ad kaum nabi luth,, yg terkenal dgn homo dan lesbi,, seandenya allah tdk membinasakan mreka malah sebaliknya mreka berhasil berjuang sperti yg kalian inginkan sehingga semua terpengaruh sampai semua orang jd lesbi dan homo akan kah kalian ad skrang karna jman dulu tehnologi lom ad.. Pikir pake otak jangan pake pantat....	0
Jurnalis oon	0
Ingat zaman nabi ludh,,jgn ampe terulang lagi,,sadar lah manusia,,hewan aja bisa tw lawan jenis nyaa,knapa manusia tidak	0
Terima kasih Mba Yuli telah membantu memperjuangkan hak2 kami. Mba Yuli adalah pahlawan dan kami membutuhkan lebih banyak orang2 seperti mba Yuli yang berani berbicara.	1
Gimana kalo menurut kalian guys?	2
Tau ga kenapa generasi sekarang lebih banyak yang mendukung LGBT? Karena generasi sekarang lebih banyak yang jauh dari Tuhan. Pancasila. 1, ketuhanan yang maha esa. Kalau sila ke 1 aja dibantah ya sudahlah🙄	0
Ortu lu aja gak LGBT, kalau ortu lu LGBT  trus lu lahir dari pohon kelapa???	0
Mau kesel sih.. tp ini indonesaa~ yang penting diedukasi scr halus dulu gaess, kt ga boleh jg asal kesel. 🤗🤗 kita smua pasti tadinya ignorant koks. Yg penting sabar, sabar n sabar. Namanya mengedukasi pasti hrs suabar. Sebenernya yang miris di sini adalah rata2 moral mrk. Apa pun bisa aja ditentang tp bkn berarti hrs ngediskriminasiin org yg ga berslh sm kita dong, ga nyambung. Rata2 dr mrk msh belum paham/males mikir cara penyampaian yg lbh baik, di pikirannya LGBTQ+ sdh pasti &quot;buruk&quot;. Seolah2 derajat kelompok LQBTQ+ jauh lbh rendah dibandingkan mrk (ini biasanya jg di alam bwh sadar) jd ngomongnya begitu. Padahal setiap hal bisa dipikirin dulu dari segi moralitas, ga musti org yg udh tau seluk beluk LGBTQ+ dulu kok.. <br><br>Gpplah ya agak frontal, real talk aje. <a href="http://www.youtube.com/results?search_query=%23peaceout">#peaceout</a>	2
klo gak mau susah yaudah taukkan harus kaya gimana?	0
Hay isu kek gini emng kadang buat kamu pusing kan? Tenang - tenang , ada aku disini. Aku menyediakan jasa curhat online. Aku akan siap mendengarkan setiap keluh kesah mu dan juga memberikan solusi terbaik.  Untuk harga mulai dari 50K ajah ka😁. <br><br>My Podcast : Talk With Ansyah <br>My Blog : Berbeda Pelangi <br>Instagram : @Ansyah_Ibrahim	2
<a href="https://www.youtube.com/watch?v=r3B_WTIE4X8&amp;t=4m52s">4:52</a> w org Indonesia.. juga orang Lgbt ( Bi ) , w merasa Cringe saat ada yg bilang &quot;Lgbt itu penyakit&quot; like seriously dude, Lgbt hidup seperti kalian, Lgbt juga punya perasaan! Yg bedanya hanya mereka jatuh cinta kepada orang yg sama jenis! Mereka semua sama.. THEY ARE <b>H U M A N</b>	1
wah gila, it&#39;s hurt!<br>yah walupun gue ga setuju ad lgbtq , gw ga mau ganggu mrka, dn gue ga se ekstrim ini jg 🙏	2
Kurang dewasa pikirannya	2
Sorry,gue benci LGBT dan pelakunya.ini pendapat y bebas bersuara	0
Mwmapos aja lu sampah2 masyarakat!!!	0
Saya pribadi punya temen gay,,, ceritanya panjang,, <br>Awal temen saya jadi gay.. Memang waktu kecil kebanci2an, sering di bully di sebut bencong, tapi masih biasa normal suka ke cewe,,  tapi saat usia 7 bulan,  temen saya di telantarkan sama bapak kandung&#39;y, alias bapak kandung&#39;y nikah lagi dan lebih perhatian sama anak tirinya. Temen saya tinggal sama ibu&#39;y, dia 2 bersaudara, punya kaka 1 perempuan, gak punya adik. <br>Awal dia jadi gay, setelah keluar sekolah SD tahun 2000 , dia gak lanjut sekolah karena gak punya biaya,, dia jadi tukang kuli di pabrik kerupuk mungkus kerupuk dengan notabe&#39;y semua yang kerja mungkus kerupuk tuh cwek semua, ya gak tau lah selebihnya. Dia curhat ke saya, kangen sosok seorang ayah, dia sering lihat om2 cakep dan berhayal bahwa om cakep itu seandainya jadi bapaknya, Lama-lama tumbuh lah rasa itu, karena temen saya mulai dewasa,<br>Pada saat usia 11 tahun pun temen saya pernah alami kekerasan dari bapak kandung&#39;y, karena bapak kandung&#39;y datang ke rumah untuk minta uang k ibu&#39;y ( mantan istri  ) temen saya pernah di tendang ku bapak&#39;y sama kepala&#39;y di siram pake sayur kangkung yang masih panas, di situ makin trauma sama bapak kandung&#39;y,, itu kejadian saat temen saya usia 11 tahun,, mungkin terlalu lama di telantarkan sama bapaknya jadi haus kasih sayang seorang bapak2,, sedangkan anak masih kecil itu butuh perhatian didikan, sedangkan bapaknya masih ada, sampai sekarang pun bapaknya masih ada dan teman saya pun gak pernah di longok2,,  tapi temen saya sering longok bapaknya karena tidak mau jadi anak durhaka, karena bagaimana pun harus bakti ke orang tua, kalau di longok pun temen saya tuh ku bapaknya gak pernah di tanya sehat atau engga&#39;y....	1
Di kantorku ada gay, dan aku ga mau temenan ama dia karena dia pembohong padahal penyanyi rohani lho	0
Dapet berapa dari dana LGBT	0
Yang bilang bakal di anjing anjing in,gua juga 2 bulan yang lalu kek gitu kok 😂,gua kasarin,gak peduli gua mau hatinya sakit atau apalah, i dont fucking care bro 😂	0
gw comment netral<br><a href="https://www.youtube.com/watch?v=r3B_WTIE4X8&amp;t=6m27s">6:27</a> orang yang menganggap mereka bakalan nular, ada potensi jadi seperti mereka. karena sejatinya mau berbagai macam cara mereka ngajak ke yang normal, ya gak bakalan nular karena emang gak ada potensi jadi seperti mereka.	2
Ini apaan sik	2
Ada yg jawab penyakit weyyy lo yg penyakit 🤪 ih beci gue sama orang2 yg menanggapi LGBT kaya gitu, DANGKAL banget otak nya 😓	0
LGBT Penyakit??<br>Wowww IQ Anda Lebih tinggi Dari Albert Einstein <br>Kalo Albert Einstein ada 190 IQ<br>Anda -190 IQ (MINUS) <br><br>Alias gak ada Pengetahuan	1
